name,id
adventure_and_travel_sports,9
aircraft_activities,6
artistic_and_dance_sports,12
athletics,2
basket_and_handball_sports,18
basque_and_lumberjack_sports,4
bat_and_ball_games,3
billiard_sports,5
board_sports,25
circus_discipline,23
club_and_ball_sports,17
combat_sports,8
cycle_sports,11
diving_sports,13
equestrianism,14
football_sports,16
paddle_sports,10
racquet_and_net_sports,20
relaxation_training,30
shooting_sports,27
skating_sports,21
skiing_sports,22
sliding_sports,24
stick_and_ball_sports,19
strength_training,15
target_sports,26
thow_and_catch_sports,7
tow_sports,28
water_aerobics,1
